gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3961235774	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/239700130/original.jpg	https://www.inaturalist.org/photos/239700130					2022-10-26T16:02:10Z	mrsrusty		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mrsrusty
3961235774	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/239700159/original.jpg	https://www.inaturalist.org/photos/239700159					2022-10-26T16:02:10Z	mrsrusty		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mrsrusty
3961138109	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/240242422/original.jpg	https://www.inaturalist.org/photos/240242422					2022-10-29T08:49:37Z	fantasticmrdan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	fantasticmrdan
3961134634	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235719158/original.jpeg	https://www.inaturalist.org/photos/235719158					2022-10-08T19:46:51Z	Sara Steeles-Yates		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Sara Steeles-Yates
3961134634	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235719141/original.jpeg	https://www.inaturalist.org/photos/235719141					2022-10-08T19:46:19Z	Sara Steeles-Yates		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Sara Steeles-Yates
3961072573	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241050849/original.jpg	https://www.inaturalist.org/photos/241050849					2022-11-01T14:03:48Z	danielgavri		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	danielgavri
3961072573	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241050818/original.jpg	https://www.inaturalist.org/photos/241050818					2022-11-01T14:03:48Z	danielgavri		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	danielgavri
3961072573	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241050888/original.jpg	https://www.inaturalist.org/photos/241050888					2022-11-01T14:03:48Z	danielgavri		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	danielgavri
3961072573	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241050791/original.jpg	https://www.inaturalist.org/photos/241050791					2022-11-01T14:03:48Z	danielgavri		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	danielgavri
3961071425	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/240814457/original.jpeg	https://www.inaturalist.org/photos/240814457					2022-10-31T17:49:30Z	Rowena		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rowena
